ref_ds,ref_fournisseur,libelle_source,groupe_articles,code_remise,code_barre,type_code_barre,source_ligne
V016E250,,Coude 90° + inspection étanche DW32 Ø 250 mm,CHEM,A01,5900856026153,EAN13,18565
V016E250,,Coude 90° + inspection étanche DW32 Ø 250 mm,CHEM,A01,5900856026153,CODE128,18566
V016F080,,Coude 87° + inspection étanche DW32 Ø 80 mm,CHEM,A01,5900856026511,EAN13,18567
V016F100,,Coude 87° + inspection étanche DW32 Ø 100 mm,CHEM,A01,5900856026528,EAN13,18568
V016F130,,Coude 87° + inspection étanche DW32 Ø 130 mm,CHEM,A01,5900856026542,EAN13,18569
V016F150,,Coude 87° + inspection étanche DW32 Ø 150 mm,CHEM,A01,5900856026559,CODE128,18570
V016F150,,Coude 87° + inspection étanche DW32 Ø 150 mm,CHEM,A01,5900856026559,EAN13,18571
V016F180,,Coude 87° + inspection étanche DW32 Ø 180 mm,CHEM,A01,5900856026573,EAN13,18572
V016F180,,Coude 87° + inspection étanche DW32 Ø 180 mm,CHEM,A01,5900856026573,CODE128,18573
V016F200,,Coude 87° + inspection étanche DW32 Ø 200 mm,CHEM,A01,5900856026580,EAN13,18574
V016F200,,Coude 87° + inspection étanche DW32 Ø 200 mm,CHEM,A01,5900856026580,CODE128,18575
V016F250,,Coude 87° + inspection étanche DW32 Ø 250 mm,CHEM,A01,5900856026603,EAN13,18576
V016F250,,Coude 87° + inspection étanche DW32 Ø 250 mm,CHEM,A01,5900856026603,CODE128,18577
V017060,TWIN-B52060/100,Solin 0° inox DW32 Ø 60 mm,CHEM,A051,5900856113570,EAN13,18578
V017080,DW25B080,Solin 0° inox DW32 Ø 80 mm,CHEM,A01,5900856532159,EAN13,18579
V017080,DW25B080,Solin 0° inox DW32 Ø 80 mm,CHEM,A01,665-ZUWA1128D0145,CODE128,18580
V017080,DW25B080,Solin 0° inox DW32 Ø 80 mm,CHEM,A01,DW25B080,CODE128,18581
V017100,DW25B100,Solin 0° inox DW32 Ø 100 mm,CHEM,A01,665-ZUWA1128D0165,CODE128,18582
V017100,DW25B100,Solin 0° inox DW32 Ø 100 mm,CHEM,A01,DW25B100,CODE128,18583
V017130,DW25B130,Solin 0° inox DW32 Ø 130 mm,CHEM,A01,665-ZUWA1128D0195,CODE128,18584
V017130,DW25B130,Solin 0° inox DW32 Ø 130 mm,CHEM,A01,8433404015691,EAN13,18585
V017130,DW25B130,Solin 0° inox DW32 Ø 130 mm,CHEM,A01,DW25B130,CODE128,18586
V017150,DW25B150,Solin 0° inox DW32 Ø 150 mm,CHEM,A01,5900856015706,EAN13,18587
V017150,DW25B150,Solin 0° inox DW32 Ø 150 mm,CHEM,A01,665-ZUWA1128D0215,CODE128,18588
V017150,DW25B150,Solin 0° inox DW32 Ø 150 mm,CHEM,A01,8433404015707,EAN13,18589
V017150,DW25B150,Solin 0° inox DW32 Ø 150 mm,CHEM,A01,DW25B150,CODE128,18590
V017180,DW25B180,Solin 0° inox DW32 Ø 180 mm,CHEM,A01,5900856015713,EAN13,18591
V017200,DW25B200,Solin 0° inox DW32 Ø 200 mm,CHEM,A01,665-ZUWA1128D0265,CODE128,18592
V017200,DW25B200,Solin 0° inox DW32 Ø 200 mm,CHEM,A01,DW25B200,CODE128,18593
V017200,DW25B200,Solin 0° inox DW32 Ø 200 mm,CHEM,A01,8433404015721,EAN13,18594
V017250,DW25B250,Solin 0° inox DW32 Ø 250 mm,CHEM,A01,5900856015737,EAN13,18595
V017250,DW25B250,Solin 0° inox DW32 Ø 250 mm,CHEM,A01,8433404015738,EAN13,18596
V017250,DW25B250,Solin 0° inox DW32 Ø 250 mm,CHEM,A01,665-ZUWA1128D0315,CODE128,18597
V017250,DW25B250,Solin 0° inox DW32 Ø 250 mm,CHEM,A01,DW25B250,CODE128,18598
V017300,DW25B300,Solin 0° inox DW32 Ø 300 mm,CHEM,A01,5900856015744,EAN13,18599
V017300,DW25B300,Solin 0° inox DW32 Ø 300 mm,CHEM,A01,8433404015745,EAN13,18600
V017300,DW25B300,Solin 0° inox DW32 Ø 300 mm,CHEM,A01,665-ZUWA1128D0365,CODE128,18601
V017300,DW25B300,Solin 0° inox DW32 Ø 300 mm,CHEM,A01,DW25B300,CODE128,18602
V017350,DW25B350,Solin 0° inox DW32 Ø 350 mm,CHEM,A01,5900856015751,EAN13,18603
V017350,DW25B350,Solin 0° inox DW32 Ø 350 mm,CHEM,A01,DW25B350,CODE128,18604
V017350,DW25B350,Solin 0° inox DW32 Ø 350 mm,CHEM,A01,665-ZUWA1128D0415,CODE128,18605
V017350,DW25B350,Solin 0° inox DW32 Ø 350 mm,CHEM,A01,8433404015752,EAN13,18606
V017400,DW25B400,Solin 0° inox DW32 Ø 400 mm,CHEM,A01,5900856015768,EAN13,18607
V017450,DW25B450,Solin 0° inox DW32 Ø 450 mm,CHEM,A01,5900856015775,EAN13,18608
V017500,DW25B500,Solin 0° inox DW32 Ø 500 mm,CHEM,A01,5900856015782,EAN13,18609
V017550,DW25B550,Solin 0° inox DW32 Ø 550 mm,CHEM,A01,5900856015799,EAN13,18610
V017600,DW25B600,Solin 0° inox DW32 Ø 600 mm,CHEM,A01,5900856015805,EAN13,18611
V017L130,DW95B3130,Solin large pour V036D DW32 Ø 130 mm,CHEM,A01,5900856553024,EAN13,18612
V017L150,DW95B3150,Solin large pour V036D DW32 Ø 150 mm,CHEM,A01,5900856553031,EAN13,18613
V017L180,DW95B3180,Solin large pour V036D DW32 Ø 180 mm,CHEM,A01,5900856553048,EAN13,18614
V017L200,DW95B3200,Solin large pour V036D DW32 Ø 200 mm,CHEM,A01,5900856553055,EAN13,18615
V017L230,DW95B3230,Solin large pour V036D DW32 Ø 230 mm,CHEM,A01,5900856891928,EAN13,18616
V017L250,DW95B3250,Solin large pour V036D DW32 Ø 250 mm,CHEM,A01,5900856553062,EAN13,18617
V017L300,DW95B3300,Solin large pour V036D DW32 Ø 300 mm,CHEM,A01,5900856553079,EAN13,18618
V017L350,DW95B3350,Solin large pour V036D DW32 Ø 350 mm,CHEM,A01,5900856553086,EAN13,18619
